Number of Qubits,Depth,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
10,10,0,2.5868910951850634,2.8588666933732814,69.21987603420177,65.29772559018794,62.40900238160938,56.80460593463234,8.0,9.0,8.0,20
10,10,1,2.6100711318744736,2.8714695079171695,70.19420995433451,65.31961752938359,63.28746694158638,56.823650441434296,8.0,8.0,8.0,20
10,10,2,2.651000643267927,2.9338741662056473,72.1347889898732,66.7564818735463,65.03710315287913,58.073625262363606,9.0,8.0,9.0,20
10,10,3,2.5883006974424543,2.865812562861936,71.86148832929337,66.22133660307625,64.79069384742769,57.60808506273066,9.0,8.0,8.0,20
10,10,5,2.62468668640119,2.9217099290709463,71.2006647847309,65.6492190522351,64.1948918823094,57.1163742876397,9.0,8.0,8.0,20
10,10,7,2.588795921336288,2.8892470988877164,70.02776083435613,64.25601872018456,63.13739554417425,55.90425702605053,10.0,8.0,8.0,20
10,10,9,2.596842231485468,2.8994228534988737,69.37030709294659,64.09185470448968,62.54463181120897,55.76143044714592,8.0,8.0,8.0,20
10,10,11,2.603876969152647,2.9013090129493606,70.23172149183335,64.124561598819,63.3212875400507,55.78988621928257,9.0,9.0,9.0,20
10,10,13,2.5663321067981935,2.8292864898365453,69.13916665249495,64.63819929171328,62.336234380801784,56.23086265108359,9.0,8.0,9.0,20
10,10,15,2.634302739785607,2.893655121619531,72.33476908536035,66.52410417812014,65.21740625323957,57.87147238035473,9.0,8.0,8.0,20
10,10,17,2.613657762298369,2.887672083184554,71.35842586780694,67.13382805090345,64.33713010019574,58.4018909211132,8.0,8.0,8.0,20
10,10,19,2.560239463283047,2.8567329876315983,69.53007731620772,66.04550359751069,62.688681480397754,57.46115122084828,8.0,8.0,8.0,20
10,10,20,2.6035331874912018,2.883720139710438,72.04465722245237,66.39510571377981,64.95583987981512,57.759252439050584,10.0,8.0,8.0,20
10,10,21,2.6534417280668827,2.9324258568763915,71.96130580178347,66.09646225690028,64.8806898028565,57.499452825363164,9.0,9.0,9.0,19
10,10,22,2.601486699767219,2.85850633029642,71.64429135157914,67.34394027237119,64.5948679159749,58.58467434633434,8.0,8.0,8.0,22
10,10,23,2.561646327156558,2.8180815233430403,70.52623679885346,64.89144710454474,63.58682408172489,56.451171124030786,10.0,8.0,8.0,20
10,10,24,2.5815266967850157,2.8451044153185805,71.13313658630149,66.70555203327467,64.1340081053069,58.029319745122464,8.0,8.0,8.0,20
