Number of Qubits,Depth,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
5,10,0,1.512949416022917,1.681991373628642,31.178892086895274,29.11256728164829,29.052077079582826,25.884574407697805,6.0,6.0,6.0,8
5,10,1,1.6689675488334845,1.7980563398138507,29.83102052838299,26.846829466735738,27.034362353847087,23.123929286778246,6.0,6.0,6.0,7
5,10,2,1.4519119683434993,1.6171134890896164,30.765934437047953,27.841735211198007,28.667288632304725,24.75465182240953,7.0,7.0,6.0,6
5,10,3,1.4249668920713878,1.624429992835204,30.428596988084998,27.344059869167946,29.96500340516404,24.325867161687544,7.0,6.0,6.0,7
5,10,5,1.427163686893287,1.56185035209932,32.0010814649121,29.55962951899602,29.81818220986096,26.282066516021544,5.0,5.0,5.0,8
5,10,7,1.4583430897328942,1.6556175469839536,28.562781906522336,27.381446632336974,26.614420398355822,24.345399905418606,6.0,6.0,6.0,8
5,10,9,1.4221410089681652,1.5831249406623544,31.620590285809428,28.97227004969677,29.463645588335588,25.759833291446878,6.0,5.0,5.0,7
5,10,11,1.521310684880742,1.7093697463090567,29.222882818627756,26.906804942645685,28.208199387425406,23.175587850989743,6.0,6.0,6.0,8
5,10,13,1.5327928174931305,1.72852426283454,28.590891236091494,26.430810174653004,25.91049518270792,22.7656001699648,6.0,7.0,6.0,10
5,10,15,1.3372886676814786,1.501457454413601,31.122146879631366,28.08921497124823,28.999202649961227,24.988773259567235,7.0,6.0,6.0,8
5,10,17,1.4433367552945344,1.6333461508180216,29.124577837736183,27.02475234397996,28.113307773925897,23.277179265029613,5.0,5.0,5.0,7
5,10,19,1.438713060986373,1.6122159523397126,30.60807659373246,28.46579538846726,28.52019879284421,25.30951639127872,7.0,7.0,6.0,7
5,10,20,1.4607961745659788,1.6406398313311048,30.35589432044704,28.75543515704437,28.285218703712946,25.567040987740146,7.0,6.0,6.0,8
5,10,21,1.338537632366413,1.543576589754327,30.04773433196573,28.84326062848718,29.589943365689248,25.64512839681195,6.0,6.0,6.0,7
5,10,22,1.6256253433824475,1.8037010323814477,30.74431088074267,28.5949175748721,28.647140090054897,25.424321547737303,6.0,6.0,6.0,8
5,10,23,1.6127769166987196,1.7871494512129371,28.783128895330382,27.339735907897563,26.084710561393162,25.162287323219093,5.0,6.0,5.0,8
5,10,24,1.6286830237263663,1.804276051415438,29.21346548456768,26.458709305392382,26.474703095389465,24.351429289099197,6.0,7.0,6.0,6
5,10,25,1.6407845323527532,1.7921955777854892,27.22217887429577,24.987397475206496,25.644422832273438,22.354101889205605,7.0,7.0,6.0,8
5,10,26,1.7323004379415512,1.934827443344103,28.208848506254633,25.645946498906437,26.573906594559944,22.943249758223672,5.0,5.0,5.0,10
5,10,27,1.4681298085348788,1.638162568162727,30.368263872857625,28.230396142769212,28.296744488178632,25.100218144516813,7.0,6.0,6.0,11
5,10,28,1.2676859568996623,1.4215204068978782,29.152572374526628,26.653032484563127,28.1403302781889,24.54538901076143,6.0,6.0,6.0,7
5,10,29,1.5308585666516412,1.7446687942908672,27.835244940454558,26.418888063277397,25.225690727286946,24.31477957386273,7.0,6.0,6.0,6
5,10,30,1.4369619642573528,1.6248200224874947,30.18618204580803,28.07072065280085,28.127083062766417,24.972320313810485,7.0,6.0,6.0,11
5,10,31,1.5314754787315021,1.7266393150150288,31.477233267292654,29.296317513629823,29.33006742461376,26.047950468151125,5.0,5.0,5.0,9
5,10,32,1.275989125084817,1.4071287892483757,29.78093519995925,29.01142837512257,27.749479440128233,25.79464975329852,6.0,7.0,6.0,9
5,10,33,1.4477626865970175,1.6283714094745836,31.28000019947529,28.66560978162657,32.26562347445875,28.360166917389588,4.0,4.0,4.0,7
5,10,34,1.648996631892093,1.822895517197825,25.650961469415726,23.876688843801446,23.446581968137814,22.199524665110875,5.0,5.0,5.0,8
5,10,35,1.4614314780726587,1.6457044765065618,30.892973925449215,28.0148970973318,28.78566233842931,24.922658471299506,6.0,6.0,6.0,8
5,10,36,1.552598596003288,1.7784604282260448,29.704030002263504,27.2415268092427,26.919277189551302,23.46389320874225,6.0,5.0,5.0,6
5,10,37,1.4767301372530701,1.6331897037958814,29.698070640562747,26.610571196497624,26.913876518009996,24.506285436559526,6.0,5.0,5.0,6
