Number of Nodes,Degree,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
10,3,0,1.2486158029050214,1.2486158029050216,13.700285173544536,13.700285173544545,12.878268063131861,11.964915718228902,4.0,4.0,4.0,4
10,3,1,1.3017476391709002,1.3017476391709006,12.500000000000014,12.500000000000004,11.75000000000001,10.91666666666667,5.0,5.0,5.0,4
10,3,2,2.4902550187292976,2.4902550187292993,13.990386690021566,13.990386690021602,13.15096348862027,13.197598110920378,4.0,4.0,4.0,5
10,3,3,2.049663844561008,2.049663844561008,14.167376009851605,14.167376009851568,12.042269608373864,11.097777874383729,4.0,4.0,4.0,5
10,3,4,3.071035580555794,3.0710355805557916,14.04508497187474,14.045084971874743,13.202379873562254,12.266040875437275,4.0,4.0,4.0,4
10,3,5,3.0710355805557925,3.071035580555793,14.045084971874736,14.045084971874754,13.202379873562254,12.266040875437284,4.0,4.0,4.0,4
10,3,6,1.3017476391709004,1.3017476391709009,12.5,12.500000000000004,11.749999999999998,10.91666666666667,5.0,5.0,5.0,4
10,3,7,1.8963344942688374,1.8963344942688363,13.640481992731285,13.640481992731274,11.594409693821593,10.685044227639498,5.0,5.0,5.0,5
10,3,8,2.490255018729298,2.4902550187292976,13.990386690021568,13.990386690021575,14.130290556921782,13.197598110920351,4.0,4.0,4.0,5
10,3,9,3.0710355805557916,3.071035580555794,14.045084971874726,14.045084971874756,13.202379873562242,12.266040875437286,4.0,4.0,4.0,4
10,3,10,1.8963344942688367,1.8963344942688372,13.640481992731273,13.640481992731264,11.594409693821582,10.685044227639489,5.0,5.0,5.0,5
10,3,11,3.0710355805557925,3.0710355805557925,14.045084971874726,14.045084971874756,13.202379873562242,12.266040875437286,4.0,4.0,4.0,4
10,3,12,2.4902550187292967,2.4902550187292984,12.500000000000002,12.500000000000014,11.691782492163082,10.916666666666679,7.0,6.0,6.0,4
10,3,13,1.896334494268836,1.8963344942688367,13.640481992731283,13.64048199273128,11.59440969382159,10.685044227639503,5.0,5.0,5.0,5
10,3,14,0.9743270826470442,0.9743270826470439,12.500000000000004,12.500000000000009,11.750000000000004,9.791666666666673,4.0,4.0,4.0,4
10,3,15,2.04966384456101,2.049663844561009,14.167376009851605,14.167376009851589,12.042269608373864,11.097777874383745,4.0,4.0,4.0,4
10,3,16,1.9668721300516538,1.9668721300516552,14.045084971874749,14.045084971874768,11.938322226093536,11.00198322796857,4.0,4.0,4.0,4
10,3,17,2.3657059289554923,2.3657059289554923,13.68208477248815,13.682084772488146,11.629772056614927,11.460913672527441,5.0,5.0,5.0,4
10,3,18,3.1965493048692677,3.1965493048692695,13.903882032022057,13.903882032022082,13.069649110100732,12.142723641299284,4.0,4.0,4.0,5
10,3,19,1.896334494268837,1.8963344942688367,13.64048199273129,13.64048199273125,11.594409693821596,10.685044227639478,5.0,5.0,5.0,5
10,3,20,2.3657059289554914,2.3657059289554923,13.682084772488148,13.682084772488144,11.629772056614925,11.460913672527441,5.0,5.0,5.0,4
10,3,21,1.3017476391709004,1.3017476391709002,12.500000000000002,12.500000000000002,11.75,10.916666666666668,5.0,5.0,5.0,4
10,3,22,2.490255018729296,2.4902550187292976,13.990386690021566,13.990386690021602,13.15096348862027,12.218271042618865,4.0,4.0,4.0,5
10,3,23,2.049663844561009,2.0496638445610085,14.167376009851587,14.16737600985158,12.042269608373848,11.097777874383738,4.0,4.0,4.0,6
10,3,24,1.2486158029050207,1.2486158029050218,13.700285173544547,13.700285173544549,12.878268063131873,11.964915718228905,4.0,4.0,4.0,4
10,3,25,1.8963344942688374,1.8963344942688372,13.640481992731265,13.640481992731285,11.594409693821577,10.685044227639507,5.0,5.0,5.0,5
10,3,26,3.07103558055579,3.0710355805557903,14.045084971874749,14.045084971874747,13.202379873562261,12.266040875437279,4.0,4.0,4.0,4
10,3,27,1.2486158029050205,1.2486158029050218,13.700285173544536,13.700285173544566,12.878268063131861,11.964915718228921,4.0,4.0,4.0,4
10,3,28,2.4373068313076613,2.4373068313076613,14.273188398592314,14.273188398592328,14.415920282578236,13.464374389338763,4.0,4.0,4.0,5
10,3,29,2.4902550187292976,2.4902550187292993,13.990386690021593,13.990386690021607,13.150963488620295,13.197598110920381,4.0,4.0,4.0,5
10,3,30,1.2486158029050216,1.2486158029050214,13.700285173544566,13.700285173544534,12.878268063131893,11.964915718228893,4.0,4.0,4.0,4
10,3,31,3.1965493048692686,3.196549304869269,13.903882032022041,13.903882032022086,13.069649110100718,12.142723641299288,4.0,4.0,4.0,6
10,3,32,1.2486158029050216,1.2486158029050214,13.70028517354456,13.700285173544547,12.878268063131886,11.964915718228903,4.0,4.0,4.0,4
10,3,33,2.490255018729298,2.4902550187292967,13.990386690021586,13.990386690021595,14.1302905569218,13.19759811092037,4.0,4.0,4.0,5
10,3,34,0.974327082647045,0.9743270826470444,12.500000000000004,12.500000000000004,10.625000000000004,10.91666666666667,4.0,4.0,4.0,5
10,3,35,2.490255018729298,2.4902550187292976,13.990386690021609,13.99038669002159,14.130290556921825,12.218271042618854,4.0,4.0,4.0,5
10,3,36,1.9668721300516558,1.9668721300516547,14.045084971874747,14.045084971874731,11.938322226093534,11.001983227968541,4.0,4.0,4.0,4
10,3,37,2.0496638445610085,2.049663844561008,14.167376009851589,14.167376009851573,12.04226960837385,11.097777874383732,4.0,4.0,4.0,6
10,3,38,3.0710355805557894,3.0710355805557894,15.00000000000002,15.0,14.100000000000017,13.1,4.0,4.0,4.0,4
10,3,39,1.2486158029050216,1.2486158029050205,13.700285173544561,13.700285173544543,12.878268063131888,11.9649157182289,4.0,4.0,4.0,4
10,3,40,2.049663844561008,2.0496638445610076,14.167376009851562,14.167376009851605,12.042269608373829,11.097777874383755,4.0,4.0,4.0,5
10,3,41,3.071035580555792,3.071035580555792,14.045084971874731,14.045084971874736,13.202379873562247,12.26604087543727,4.0,4.0,4.0,4
10,3,42,1.8963344942688367,1.8963344942688367,13.640481992731273,13.640481992731273,11.594409693821582,10.685044227639496,5.0,5.0,5.0,5
10,3,43,2.365705928955492,2.3657059289554923,13.682084772488142,13.682084772488135,11.629772056614922,11.460913672527441,5.0,5.0,5.0,4
10,3,44,2.04966384456101,2.049663844561009,14.16737600985156,14.16737600985158,12.042269608373825,11.097777874383738,4.0,4.0,4.0,5
10,3,45,2.4902550187292967,2.4902550187292993,13.990386690021584,13.990386690021602,14.130290556921798,13.197598110920378,4.0,4.0,4.0,5
10,3,46,0.49231751498135856,0.4923175149813581,13.72322142952521,13.723221429525209,11.664738215096428,10.749856786461415,4.0,4.0,4.0,4
10,3,47,3.0710355805557916,3.071035580555792,14.045084971874708,14.045084971874743,13.202379873562224,12.266040875437275,4.0,4.0,4.0,4
10,3,48,2.490255018729299,2.490255018729299,13.99038669002158,13.99038669002156,13.150963488620286,13.19759811092034,4.0,4.0,4.0,5
10,3,49,3.1965493048692686,3.196549304869268,13.903882032022079,13.903882032022056,13.069649110100753,12.142723641299261,4.0,4.0,4.0,5
