Number of Nodes,Degree,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
10,3,0,1.2486158029050218,1.2486158029050205,13.700285173544536,13.700285173544545,12.878268063131861,11.964915718228902,4.0,4.0,4.0,5
10,3,1,1.3017476391709006,1.3017476391709,12.500000000000014,12.500000000000004,11.75000000000001,10.91666666666667,5.0,5.0,5.0,4
10,3,2,2.4902550187292976,2.490255018729298,13.990386690021566,13.990386690021602,11.89182868651833,11.691782492163084,4.0,4.0,4.0,5
10,3,3,2.0496638445610085,2.0496638445610094,14.167376009851605,14.167376009851568,12.042269608373864,11.097777874383729,4.0,4.0,4.0,5
10,3,4,3.071035580555793,3.071035580555794,14.04508497187474,14.045084971874743,13.202379873562254,12.266040875437275,4.0,4.0,4.0,4
10,3,5,3.0710355805557925,3.071035580555793,14.045084971874736,14.045084971874754,13.202379873562254,12.266040875437284,4.0,4.0,4.0,4
10,3,6,1.3017476391709002,1.3017476391709002,12.5,12.500000000000004,11.749999999999998,10.91666666666667,5.0,5.0,5.0,4
10,3,7,1.8963344942688363,1.896334494268838,13.640481992731285,13.640481992731274,11.594409693821593,10.685044227639498,5.0,5.0,5.0,4
10,3,8,2.490255018729299,2.4902550187293,13.990386690021568,13.990386690021575,14.130290556921782,13.197598110920351,4.0,4.0,4.0,6
10,3,9,3.0710355805557925,3.071035580555793,14.045084971874726,14.045084971874756,13.202379873562242,12.266040875437286,4.0,4.0,4.0,4
10,3,10,1.8963344942688378,1.8963344942688363,13.640481992731273,13.640481992731264,11.594409693821582,10.685044227639489,5.0,5.0,5.0,4
10,3,11,3.071035580555792,3.071035580555793,14.045084971874726,14.045084971874756,13.202379873562242,12.266040875437286,4.0,4.0,4.0,4
10,3,12,2.490255018729298,2.4902550187292984,12.500000000000002,12.500000000000014,12.625000000000002,10.916666666666679,7.0,6.0,6.0,4
10,3,13,1.896334494268837,1.8963344942688376,13.640481992731283,13.64048199273128,11.59440969382159,10.685044227639503,5.0,5.0,5.0,4
10,3,14,0.9743270826470442,0.9743270826470439,12.500000000000004,12.500000000000009,11.750000000000004,10.916666666666675,4.0,4.0,4.0,4
10,3,15,2.049663844561009,2.0496638445610076,14.167376009851578,14.167376009851596,12.042269608373841,11.097777874383752,4.0,4.0,4.0,5
10,3,16,1.9668721300516552,1.9668721300516552,14.045084971874733,14.045084971874749,11.938322226093522,11.001983227968552,4.0,4.0,4.0,4
